# EPIC structured flight events for epic_2026-07-03-11-27-15.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045634.286
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045636.324][     +2.1s][WAIT_TRIGGER] BATT 24.0V | v=24.48V pct=77%
[1783045643.322][     +9.1s][WAIT_TRIGGER] PX4 mode=POSCTL armed=1 | prev=POSCTL
[1783045644.321][    +10.1s][WAIT_TRIGGER] BATT 24.0V | v=24.49V pct=77% (x3)
[1783045644.458][     +0.0s][WAIT_TRIGGER] EVENT 2D-Nav-Goal trigger | trigger received | pos=(0.02, -0.05, 0.00)
[1783045644.458][     +0.0s][WAIT_TRIGGER] PARAM box | down=[-150, -150, 0.4] up=[150, 150, 2]
[1783045644.458][     +0.0s][WAIT_TRIGGER] PARAM corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
[1783045644.458][     +0.0s][WAIT_TRIGGER] PARAM frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
[1783045644.458][     +0.0s][WAIT_TRIGGER] PARAM viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
[1783045644.458][     +0.0s][WAIT_TRIGGER] PARAM fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
[1783045644.458][     +0.0s][WAIT_TRIGGER] PARAM topics | odom=/Odometry cloud=/cloud_registered
[1783045644.458][     +0.0s][TAKEOFF_HOVER] STATE WAIT_TRIGGER -> TAKEOFF_HOVER [triggerCallback: takeoff & hover]
[1783045646.316][     +1.9s][TAKEOFF_HOVER] PX4 mode=OFFBOARD armed=1 | prev=POSCTL
[1783045648.324][     +3.9s][TAKEOFF_HOVER] BATT 24.0V | v=24.09V pct=79% (x1)
[1783045650.319][     +5.9s][TAKEOFF_HOVER] BATT 23.5V | v=23.74V pct=71%
[1783045652.317][     +7.9s][TAKEOFF_HOVER] BATT 23.5V | v=23.60V pct=69%
[1783045653.338][     +8.9s][PLAN_TRAJ_EXP] STATE TAKEOFF_HOVER -> PLAN_TRAJ_EXP [takeoff: altitude reached & stable -> explore]
[1783045653.557][     +9.1s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=0 cons=6 nocand=0 topo=6 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=0 cons=6 nocand=0 topo=6 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=40ms
[1783045653.560][     +9.1s][PLAN_TRAJ_EXP] LOCAL EXP NO_FRONTIER | t=0.0ms goal_d=1.1m
[1783045653.560][     +9.1s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [PLAN_TRAJ_EXP: no frontier yet (warming up)]
[1783045653.815][     +9.4s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=54ms
[1783045654.053][     +9.6s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=7, reachable_clusters=0) pipe[tot=7 dorm=0 unreach=3 cons=4 nocand=0 topo=4 novis=0 ok=0] | clusters=7(reach 0) vp=0(reach 0) pipe[tot=7 dorm=0 unreach=3 cons=4 nocand=0 topo=4 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=35ms
[1783045654.290][     +9.8s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=7, reachable_clusters=0) pipe[tot=7 dorm=0 unreach=6 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=7(reach 0) vp=0(reach 0) pipe[tot=7 dorm=0 unreach=6 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=37ms
[1783045654.317][     +9.9s][PLAN_TRAJ_EXP] BATT 23.0V | v=23.46V pct=63%
[1783045654.517][    +10.1s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=2 cons=4 nocand=0 topo=4 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=2 cons=4 nocand=0 topo=4 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=25ms
[1783045654.741][    +10.3s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=3 cons=3 nocand=0 topo=3 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=3 cons=3 nocand=0 topo=3 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=23ms
[1783045654.970][    +10.5s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=28ms
[1783045655.204][    +10.7s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=4 cons=2 nocand=0 topo=2 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=4 cons=2 nocand=0 topo=2 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=28ms
[1783045655.434][    +11.0s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=6 cons=0 nocand=0 topo=0 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=6 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=25ms
[1783045656.315][    +11.9s][PLAN_TRAJ_EXP] BATT 23.0V | v=23.43V pct=65%
[1783045656.598][    +12.1s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=31ms (prev cycle x3/1.2s)
[1783045656.819][    +12.4s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=6 cons=0 nocand=0 topo=0 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=6 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=20ms
[1783045656.893][    +12.4s][PLAN_TRAJ_EXP] LOCAL EXP NO_FRONTIER | t=0.3ms goal_d=1.1m (x281)
[1783045658.172][    +13.7s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=4 cons=2 nocand=0 topo=2 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=4 cons=2 nocand=0 topo=2 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=20ms (prev cycle x4/1.4s)
[1783045658.316][    +13.9s][PLAN_TRAJ_EXP] BATT 23.0V | v=23.39V pct=63%
[1783045658.410][    +14.0s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=36ms
[1783045658.565][    +14.1s][FINISH] STATE PLAN_TRAJ_EXP -> FINISH [PLAN_TRAJ_EXP: no frontier] |  (prev x424/5.0s)
[1783045658.575][    +14.1s][FINISH] MISSION FINISH (premature? unreached clusters remain) | pos=(0.17, -0.24, 0.98) elapsed=14s clusters_left=6(reach 0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0]
[1783045658.637][    +14.2s][FINISH] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=3 cons=3 nocand=0 topo=3 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=3 cons=3 nocand=0 topo=3 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=24ms
[1783045658.637][    +14.2s][FINISH] STATE FINISH -> FINISH [planGlobalPath: no frontier]
[1783045659.329][    +14.9s][FINISH] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=6, reachable_clusters=0) pipe[tot=6 dorm=0 unreach=4 cons=2 nocand=0 topo=2 novis=0 ok=0] | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=4 cons=2 nocand=0 topo=2 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=23ms (prev cycle x1/0.7s)
[1783045659.582][    +15.1s][PLAN_TRAJ_RTH] STATE FINISH -> PLAN_TRAJ_RTH [FINISH: hover done -> return home] |  (prev x4/0.7s)
[1783045659.591][    +15.1s][PLAN_TRAJ_RTH] STUCK no motion >8s in PLAN_TRAJ_RTH | last-local: OK | pos=(0.18, -0.32, 1.00) still=9s
[1783045659.591][    +15.1s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.32m tol=0.20m goal=(0.02, -0.05, 1.20)
[1783045659.591][    +15.1s][PLAN_TRAJ_RTH] LOCAL RTH FAIL | why: no global tour yet (RTH global plan pending) | t=0.0ms (prev x143/2.7s)
[1783045659.591][    +15.1s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [PLAN_TRAJ_RTH: plan failed]
[1783045659.602][    +15.1s][PLAN_TRAJ_RTH] STUCK no motion >8s in PLAN_TRAJ_RTH | last-local: no global tour yet (RTH global plan pending) | pos=(0.18, -0.32, 1.00) still=9s
[1783045659.808][    +15.4s][PLAN_TRAJ_RTH] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.4m (connected via 3) | clusters=6(reach 0) vp=0(reach 0) pipe[tot=6 dorm=0 unreach=5 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/0.4m goal=(0.0, 0.0, 0.0) t=18ms (prev x1/0.2s)
[1783045659.808][    +15.4s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [planGoalPath: succeed] |  (prev x16/0.2s)
[1783045659.842][    +15.4s][PLAN_TRAJ_RTH] LOCAL RTH OK | t=33.4ms (prev x16/0.2s)
[1783045659.842][    +15.4s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success]
[1783045659.852][    +15.4s][EXEC_TRAJ] STUCK no motion >8s in EXEC_TRAJ | last-local: OK | pos=(0.17, -0.33, 1.01) still=9s (prev x16/0.2s)
[1783045660.036][    +15.6s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
[1783045660.036][    +15.6s][PLAN_TRAJ_RTH] STUCK no motion >8s in PLAN_TRAJ_RTH | last-local: OK | pos=(0.16, -0.34, 1.01) still=9s (prev x15/0.2s)
[1783045660.036][    +15.6s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.33m tol=0.20m goal=(0.02, -0.05, 1.20) (x17)
[1783045660.319][    +15.9s][EXEC_TRAJ] BATT 23.0V | v=23.32V pct=60%
[1783045660.747][    +16.3s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.32m tol=0.20m goal=(0.02, -0.05, 1.20)
[1783045661.440][    +17.0s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.3m (connected via 3) | clusters=6(reach 0) vp=0(reach 0) pipe[tot=7 dorm=0 unreach=4 cons=3 nocand=0 topo=3 novis=0 ok=0] tour=2n/0.3m goal=(0.0, -0.0, 1.2) t=20ms (prev x2/1.4s)
[1783045661.440][    +17.0s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.27m tol=0.20m goal=(0.02, -0.05, 1.20)
