# EPIC structured flight events for epic_2026-07-20-19-22-24.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1784542943.542
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.50 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.5, 1.5]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered
[1784542945.026][     +1.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.29V percent=36%
[1784542947.024][     +3.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.28V percent=36%
[1784542949.024][     +5.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.27V percent=36%
[1784542953.019][     +9.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.26V percent=36% (repeated x1)
[1784542957.019][    +13.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.26V percent=35% (repeated x1)
[1784542959.017][    +15.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.26V percent=36%
[1784542963.015][    +19.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.26V percent=35% (repeated x1)
[1784542969.010][    +25.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.25V percent=35% (repeated x2)
[1784542977.004][    +33.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.24V percent=35% (repeated x3)
[1784542992.996][    +49.5s][WAIT_TRIGGER] BATT 23.0V | voltage=23.23V percent=35% (repeated x7)
