# EPIC structured flight events for epic_2026-07-03-11-21-46.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045305.987
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045333.037][    +12.9s][FINISH] STATE PLAN_TRAJ_EXP -> FINISH [PLAN_TRAJ_EXP: no frontier] |  (prev x457/5.0s)
[1783045333.052][    +12.9s][FINISH] STATE FINISH -> FINISH [planGlobalPath: no frontier]
[1783045333.054][    +12.9s][FINISH] MISSION FINISH (map fully explored) | pos=(0.81, -0.31, 1.00) elapsed=13s clusters_left=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0]
[1783045333.477][    +13.3s][FINISH] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=0, reachable_clusters=0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=10ms (x4)
[1783045334.057][    +13.9s][PLAN_TRAJ_RTH] STATE FINISH -> PLAN_TRAJ_RTH [FINISH: hover done -> return home] |  (prev x4/0.8s)
[1783045334.066][    +13.9s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.89m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045334.066][    +13.9s][PLAN_TRAJ_RTH] LOCAL RTH FAIL | why: no global tour yet (RTH global plan pending) | t=0.0ms (prev x92/2.0s)
[1783045334.066][    +13.9s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [PLAN_TRAJ_RTH: plan failed]
[1783045334.076][    +13.9s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.88m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045334.130][    +14.0s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.86m tol=0.20m goal=(-0.02, -0.00, 1.20) (x4)
[1783045334.149][    +14.0s][PLAN_TRAJ_RTH] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.9m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.9m goal=(0.0, 0.0, 0.0) t=7ms (prev x2/0.4s)
[1783045334.150][    +14.0s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [planGoalPath: succeed] |  (prev x6/0.1s)
[1783045334.183][    +14.0s][PLAN_TRAJ_RTH] LOCAL RTH OK | t=33.4ms (prev x6/0.1s)
