# EPIC structured flight events for epic_2026-07-02-20-14-33.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1782990872.209
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=12
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1782990874.007][     +1.8s][WAIT_TRIGGER] BATT 24.5V | v=24.81V pct=88%
[1782990880.006][     +7.8s][WAIT_TRIGGER] BATT 24.5V | v=24.81V pct=87% (x2)
[1782990882.004][     +9.8s][WAIT_TRIGGER] BATT 24.5V | v=24.81V pct=88%
[1782990886.999][    +14.8s][WAIT_TRIGGER] PX4 mode=POSCTL armed=1 | prev=POSCTL
[1782990888.000][    +15.8s][WAIT_TRIGGER] BATT 24.5V | v=24.82V pct=88% (x2)
[1782990889.822][     +0.0s][WAIT_TRIGGER] EVENT 2D-Nav-Goal trigger | trigger received | pos=(0.01, -0.01, 0.02)
[1782990889.822][     +0.0s][WAIT_TRIGGER] PARAM box | down=[-150, -150, 0.4] up=[150, 150, 2]
[1782990889.822][     +0.0s][WAIT_TRIGGER] PARAM corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
[1782990889.822][     +0.0s][WAIT_TRIGGER] PARAM frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
[1782990889.822][     +0.0s][WAIT_TRIGGER] PARAM viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=12
[1782990889.822][     +0.0s][WAIT_TRIGGER] PARAM fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
[1782990889.822][     +0.0s][WAIT_TRIGGER] PARAM topics | odom=/Odometry cloud=/cloud_registered
[1782990889.822][     +0.0s][TAKEOFF_HOVER] STATE WAIT_TRIGGER -> TAKEOFF_HOVER [triggerCallback: takeoff & hover]
[1782990891.999][     +2.2s][TAKEOFF_HOVER] BATT 24.5V | v=24.81V pct=88% (x1)
[1782990893.000][     +3.2s][TAKEOFF_HOVER] PX4 mode=OFFBOARD armed=1 | prev=POSCTL
[1782990893.999][     +4.2s][TAKEOFF_HOVER] BATT 24.5V | v=24.57V pct=89%
[1782990895.999][     +6.2s][TAKEOFF_HOVER] BATT 24.0V | v=24.08V pct=81%
[1782990897.997][     +8.2s][TAKEOFF_HOVER] BATT 23.5V | v=23.93V pct=79%
[1782990899.199][     +9.4s][PLAN_TRAJ_EXP] STATE TAKEOFF_HOVER -> PLAN_TRAJ_EXP [takeoff: altitude reached & stable -> explore]
[1782990899.279][     +9.5s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=13ms
[1782990899.281][     +9.5s][PLAN_TRAJ_EXP] LOCAL EXP NO_FRONTIER | t=0.0ms goal_d=1.1m
[1782990899.281][     +9.5s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [PLAN_TRAJ_EXP: no frontier yet (warming up)]
[1782990899.507][     +9.7s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=25ms
[1782990899.998][    +10.2s][PLAN_TRAJ_EXP] BATT 23.5V | v=23.86V pct=77%
