# EPIC structured flight events for epic_2026-07-09-00-18-43.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783523922.126
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.45 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783523953.147][    +31.0s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x128 over 30.0s
[1783523983.197][    +61.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x263 over 60.1s
[1783524013.247][    +91.1s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x406 over 90.1s
[1783524043.247][   +121.1s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x534 over 120.1s
[1783524073.297][   +151.2s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x677 over 150.2s
[1783524103.300][   +181.2s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x815 over 180.2s
[1783524133.347][   +211.2s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x952 over 210.2s
[1783524163.347][   +241.2s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x1086 over 240.2s
[1783524193.397][   +271.3s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1219 over 270.3s
[1783524223.489][   +301.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1357 over 300.3s
[1783524253.598][   +331.5s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1489 over 330.5s
[1783524283.697][   +361.6s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1623 over 360.6s
[1783524317.247][   +395.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1765 over 394.1s
[1783524347.347][   +425.2s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1911 over 424.2s
[1783524377.397][   +455.3s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2056 over 454.3s
[1783524407.397][   +485.3s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2176 over 484.3s
[1783524437.547][   +515.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2299 over 514.4s
[1783524467.547][   +545.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2435 over 544.4s
[1783524497.598][   +575.5s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2590 over 574.5s
[1783524527.650][   +605.5s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2731 over 604.5s
[1783524557.699][   +635.6s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2882 over 634.6s
[1783524587.748][   +665.6s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x3049 over 664.6s
