# EPIC structured flight events for epic_2026-07-09-20-46-43.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783597602.496
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.50 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered_cropped (cropped)
[1783597634.746][    +32.3s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x277 over 31.2s
[1783597634.881][    +32.4s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597665.046][    +62.6s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x563 over 61.5s
[1783597666.872][    +64.4s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597695.146][    +92.7s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x837 over 91.6s
[1783597698.856][    +96.4s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597725.196][   +122.7s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x1116 over 121.7s
[1783597730.846][   +128.4s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597755.346][   +152.9s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1389 over 151.8s
[1783597762.839][   +160.4s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597785.446][   +183.0s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1669 over 181.9s
[1783597794.826][   +192.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597815.546][   +213.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1951 over 212.0s
[1783597826.815][   +224.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597845.647][   +243.2s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2223 over 242.1s
[1783597858.802][   +256.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597875.746][   +273.3s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2501 over 272.2s
[1783597890.793][   +288.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53% (still repeating x16 over 30.0s)
[1783597905.849][   +303.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2781 over 302.3s
[1783597918.787][   +316.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.77V percent=53% (repeated x13)
[1783597920.784][   +318.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.78V percent=53%
[1783597930.781][   +328.3s][WAIT_TRIGGER] BATT 23.5V | voltage=23.77V percent=53% (repeated x4)
