# EPIC structured flight events for epic_2026-07-20-19-16-02.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1784542561.034
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.50 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered
[1784542563.260][     +2.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.53V percent=45%
[1784542565.260][     +4.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.54V percent=45%
[1784542573.254][    +12.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.53V percent=45% (repeated x3)
[1784542579.252][    +18.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.54V percent=45% (repeated x2)
[1784542601.236][    +40.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.53V percent=45% (repeated x10)
[1784542605.235][    +44.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.52V percent=44% (repeated x1)
[1784542607.235][    +46.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.53V percent=45%
[1784542609.232][    +48.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.51V percent=44%
[1784542611.235][    +50.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.52V percent=44%
[1784542615.232][    +54.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.53V percent=45% (repeated x1)
[1784542621.225][    +60.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.52V percent=45% (repeated x2)
[1784542625.225][    +64.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.53V percent=45% (repeated x1)
[1784542627.221][    +66.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.52V percent=45%
[1784542629.220][    +68.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.51V percent=44%
[1784542631.222][    +70.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.52V percent=44%
[1784542633.220][    +72.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.51V percent=44%
[1784542649.210][    +88.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.50V percent=44% (repeated x7)
[1784542653.205][    +92.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.51V percent=44% (repeated x1)
[1784542655.208][    +94.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.50V percent=44%
[1784542659.205][    +98.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.51V percent=44% (repeated x1)
[1784542665.197][   +104.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.50V percent=44% (prev repeated x2 over 4.0s)
[1784542671.194][   +110.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.50V percent=44% (repeated x1)
[1784542685.185][   +124.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.49V percent=44% (repeated x3)
[1784542687.190][   +126.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.50V percent=44%
[1784542695.181][   +134.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.49V percent=43% (repeated x3)
[1784542705.175][   +144.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.48V percent=43% (repeated x4)
[1784542709.172][   +148.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.49V percent=43% (repeated x1)
[1784542711.172][   +150.2s][WAIT_TRIGGER] BATT 23.0V | voltage=23.48V percent=43%
[1784542719.166][   +158.1s][WAIT_TRIGGER] BATT 23.0V | voltage=23.47V percent=43% (repeated x3)
[1784542723.165][   +162.1s][WAIT_TRIGGER] BATT 23.0V | voltage=23.48V percent=43% (repeated x1)
[1784542731.159][   +170.1s][WAIT_TRIGGER] BATT 23.0V | voltage=23.49V percent=43% (repeated x3)
[1784542733.158][   +172.1s][WAIT_TRIGGER] BATT 23.0V | voltage=23.48V percent=43%
[1784542757.145][   +196.1s][WAIT_TRIGGER] BATT 23.0V | voltage=23.47V percent=43% (repeated x11)
