# EPIC structured flight events for epic_2026-07-03-11-23-16.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045395.382
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045416.446][    +12.1s][PLAN_TRAJ_EXP] BATT 23.0V | v=23.49V pct=68%
[1783045417.064][    +12.7s][EXEC_TRAJ] GLOBAL result=OK | clusters=1(reach 1) vp=1(reach 1) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=0 novis=0 ok=1] tour=2n/6.1m goal=(5.1, 4.0, 0.7) t=7ms (x1)
[1783045418.325][    +14.0s][EXEC_TRAJ] GLOBAL result=OK | clusters=1(reach 1) vp=1(reach 1) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=0 novis=0 ok=1] tour=2n/5.7m goal=(4.7, 4.0, 0.7) t=15ms (x1)
[1783045418.402][    +14.1s][EXEC_TRAJ] BATT 23.0V | v=23.37V pct=65%
[1783045418.957][    +14.6s][EXEC_TRAJ] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/5.7m goal=(4.7, 4.0, 0.7) t=10ms
[1783045418.957][    +14.6s][FINISH] STATE EXEC_TRAJ -> FINISH [planGlobalPath: no frontier] |  (prev cycle x11/3.8s)
[1783045418.957][    +14.6s][FINISH] MISSION FINISH (premature? unreached clusters remain) | pos=(1.16, -0.00, 1.17) elapsed=15s clusters_left=1(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0]
[1783045419.174][    +14.9s][FINISH] STATE FINISH -> FINISH [planGlobalPath: no frontier]
[1783045419.799][    +15.5s][PLAN_TRAJ_EXP] STATE FINISH -> PLAN_TRAJ_EXP [planGlobalPath: succeed] |  (prev x2/0.4s)
[1783045419.833][    +15.5s][EXEC_TRAJ] STATE PLAN_TRAJ_EXP -> EXEC_TRAJ [plan success: new traj pub]
[1783045420.402][    +16.1s][EXEC_TRAJ] BATT 23.0V | v=23.24V pct=62%
[1783045420.419][    +16.1s][EXEC_TRAJ] GLOBAL result=OK | clusters=2(reach 1) vp=1(reach 1) pipe[tot=2 dorm=0 unreach=0 cons=2 nocand=0 topo=1 novis=0 ok=1] tour=2n/3.8m goal=(4.5, 2.4, 0.8) t=7ms (x3)
[1783045420.419][    +16.1s][PLAN_TRAJ_EXP] STATE EXEC_TRAJ -> PLAN_TRAJ_EXP [planGlobalPath: succeed]
[1783045420.453][    +16.1s][PLAN_TRAJ_EXP] LOCAL EXP OK | t=33.4ms goal_d=3.4m (x7)
[1783045421.042][    +16.7s][FINISH] STATE EXEC_TRAJ -> FINISH [planGlobalPath: no frontier] |  (prev cycle x1/0.6s)
[1783045421.043][    +16.7s][PLAN_TRAJ_RTH] STATE FINISH -> PLAN_TRAJ_RTH [FINISH: hover done -> return home]
[1783045421.053][    +16.7s][PLAN_TRAJ_RTH] RTH d2goal=2.0m | auto-home(xy) dist=2.39m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045421.086][    +16.8s][PLAN_TRAJ_RTH] LOCAL RTH OK | t=33.4ms
[1783045421.086][    +16.8s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success]
