# EPIC structured flight events for epic_2026-07-03-11-29-51.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045790.142
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.20 cluster_sz=[0.5, 7.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045792.265][     +2.1s][WAIT_TRIGGER] BATT 24.0V | v=24.37V pct=73%
[1783045808.255][    +18.1s][WAIT_TRIGGER] PX4 mode=POSCTL armed=0 (LEFT OFFBOARD: pilot takeover or failsafe) | prev=OFFBOARD
[1783045809.257][    +19.1s][WAIT_TRIGGER] PX4 mode=POSCTL armed=1 | prev=POSCTL
[1783045810.260][    +20.1s][WAIT_TRIGGER] BATT 24.0V | v=24.38V pct=73% (x8)
[1783045811.877][     +0.0s][WAIT_TRIGGER] EVENT 2D-Nav-Goal trigger | trigger received | pos=(-0.02, -0.05, 0.05)
[1783045811.877][     +0.0s][WAIT_TRIGGER] PARAM box | down=[-150, -150, 0.4] up=[150, 150, 2]
[1783045811.877][     +0.0s][WAIT_TRIGGER] PARAM corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
[1783045811.877][     +0.0s][WAIT_TRIGGER] PARAM frontier | cell=0.20 cluster_sz=[0.5, 7.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
[1783045811.877][     +0.0s][WAIT_TRIGGER] PARAM viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
[1783045811.877][     +0.0s][WAIT_TRIGGER] PARAM fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
[1783045811.878][     +0.0s][WAIT_TRIGGER] PARAM topics | odom=/Odometry cloud=/cloud_registered
[1783045811.878][     +0.0s][TAKEOFF_HOVER] STATE WAIT_TRIGGER -> TAKEOFF_HOVER [triggerCallback: takeoff & hover]
[1783045813.255][     +1.4s][TAKEOFF_HOVER] PX4 mode=OFFBOARD armed=1 | prev=POSCTL
[1783045814.261][     +2.4s][TAKEOFF_HOVER] BATT 24.0V | v=24.33V pct=74% (x1)
[1783045816.256][     +4.4s][TAKEOFF_HOVER] BATT 23.5V | v=23.78V pct=72%
[1783045818.255][     +6.4s][TAKEOFF_HOVER] BATT 23.5V | v=23.57V pct=62%
[1783045820.253][     +8.4s][TAKEOFF_HOVER] BATT 23.0V | v=23.44V pct=64%
[1783045820.533][     +8.7s][PLAN_TRAJ_EXP] STATE TAKEOFF_HOVER -> PLAN_TRAJ_EXP [takeoff: altitude reached & stable -> explore]
[1783045820.619][     +8.7s][PLAN_TRAJ_EXP] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=7, reachable_clusters=0) pipe[tot=7 dorm=2 unreach=0 cons=5 nocand=0 topo=5 novis=0 ok=0] | clusters=7(reach 0) vp=0(reach 0) pipe[tot=7 dorm=2 unreach=0 cons=5 nocand=0 topo=5 novis=0 ok=0] tour=0n/0.0m goal=(0.0, 0.0, 0.0) t=18ms
[1783045820.620][     +8.7s][PLAN_TRAJ_EXP] LOCAL EXP NO_FRONTIER | t=0.0ms goal_d=1.1m
[1783045820.620][     +8.7s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [PLAN_TRAJ_EXP: no frontier yet (warming up)]
[1783045820.851][     +9.0s][PLAN_TRAJ_EXP] GLOBAL result=OK | clusters=8(reach 1) vp=1(reach 1) pipe[tot=8 dorm=2 unreach=2 cons=4 nocand=0 topo=3 novis=0 ok=1] tour=2n/3.6m goal=(0.0, 0.0, 0.0) t=30ms
[1783045820.851][     +9.0s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [planGlobalPath: succeed] |  (prev x18/0.2s)
[1783045820.856][     +9.0s][PLAN_TRAJ_EXP] LOCAL EXP FAIL | why: fast-searcher: no path odom->goal | t=0.1ms goal_d=1.1m (prev x18/0.2s)
[1783045820.856][     +9.0s][PLAN_TRAJ_EXP] STATE PLAN_TRAJ_EXP -> PLAN_TRAJ_EXP [PLAN_TRAJ_EXP: plan failed]
[1783045821.132][     +9.3s][PLAN_TRAJ_EXP] LOCAL EXP OK | t=33.4ms goal_d=3.6m (prev x19/0.3s)
[1783045821.132][     +9.3s][EXEC_TRAJ] STATE PLAN_TRAJ_EXP -> EXEC_TRAJ [plan success: new traj pub] |  (prev cycle x1/0.3s)
[1783045821.341][     +9.5s][PLAN_TRAJ_EXP] STATE EXEC_TRAJ -> PLAN_TRAJ_EXP [planGlobalPath: succeed]
[1783045822.003][    +10.1s][EXEC_TRAJ] GLOBAL result=OK | clusters=8(reach 1) vp=1(reach 1) pipe[tot=8 dorm=2 unreach=2 cons=4 nocand=0 topo=3 novis=0 ok=1] tour=2n/6.2m goal=(3.5, -1.4, 0.6) t=23ms (x2)
[1783045822.253][    +10.4s][EXEC_TRAJ] BATT 23.0V | v=23.33V pct=61%
