# EPIC structured flight events for epic_2026-07-09-21-28-55.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783600134.909
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.50 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered_cropped (cropped)
[1783600136.117][     +1.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.72V percent=51%
[1783600138.112][     +3.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51%
[1783600142.112][     +7.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.72V percent=51% (repeated x1)
[1783600144.111][     +9.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51%
[1783600148.109][    +13.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.72V percent=51% (repeated x1)
[1783600150.113][    +15.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51%
[1783600168.199][    +33.3s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x287 over 32.3s
[1783600182.099][    +47.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600198.300][    +63.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x567 over 62.4s
[1783600214.088][    +79.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600228.300][    +93.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x841 over 92.4s
[1783600246.077][   +111.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600258.361][   +123.5s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x1134 over 122.4s
[1783600278.066][   +143.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600288.401][   +153.5s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1413 over 152.5s
[1783600310.055][   +175.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600318.450][   +183.6s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x1700 over 182.5s
[1783600342.042][   +207.2s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600348.501][   +213.6s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1981 over 212.6s
[1783600374.031][   +239.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600378.551][   +243.7s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2258 over 242.6s
[1783600406.022][   +271.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (still repeating x16 over 30.0s)
[1783600408.600][   +273.7s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2549 over 272.7s
[1783600426.010][   +291.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.70V percent=51% (repeated x9)
[1783600428.012][   +293.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51%
[1783600438.601][   +303.7s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2833 over 302.7s
[1783600440.006][   +305.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.70V percent=51% (repeated x5)
[1783600442.004][   +307.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51%
[1783600468.602][   +333.7s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x3111 over 332.7s
[1783600469.994][   +335.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.70V percent=51% (repeated x13)
[1783600475.992][   +341.1s][WAIT_TRIGGER] BATT 23.5V | voltage=23.71V percent=51% (repeated x2)
