# EPIC structured flight events for epic_2026-07-08-23-59-06.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783522745.874
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.45 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered_cropped (cropped)
[1783522779.435][    +33.6s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x137 over 32.6s
[1783522809.485][    +63.6s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x272 over 62.6s
[1783522839.535][    +93.7s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x411 over 92.7s
[1783522869.585][   +123.7s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x562 over 122.7s
[1783522899.585][   +153.7s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x704 over 152.7s
[1783522929.735][   +183.9s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x839 over 182.9s
[1783522959.785][   +213.9s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x982 over 212.9s
[1783522989.835][   +244.0s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1127 over 243.0s
[1783523019.836][   +274.0s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1259 over 273.0s
[1783523049.885][   +304.0s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x1404 over 303.0s
[1783523079.885][   +334.0s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x1530 over 333.0s
[1783523109.935][   +364.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1655 over 363.1s
[1783523140.027][   +394.2s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1803 over 393.1s
[1783523170.236][   +424.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x1941 over 423.4s
[1783523203.485][   +457.6s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2085 over 456.6s
[1783523233.885][   +488.0s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2229 over 487.0s
[1783523263.936][   +518.1s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2370 over 517.1s
[1783523293.985][   +548.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2509 over 547.1s
[1783523323.985][   +578.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2639 over 577.1s
[1783523354.035][   +608.2s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x2778 over 607.2s
[1783523384.085][   +638.2s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x2923 over 637.2s
[1783523414.135][   +668.3s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x3076 over 667.3s
[1783523444.157][   +698.3s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x3208 over 697.3s
[1783523474.186][   +728.3s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x3355 over 727.3s
[1783523504.235][   +758.4s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x3490 over 757.4s
[1783523534.235][   +788.4s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x3642 over 787.4s
[1783523564.235][   +818.4s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x3782 over 817.4s
[1783523594.236][   +848.4s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x3934 over 847.4s
